Topic,Count,Name,Representation,Representative_Docs,Rank,Translation,Category
51,261,51_bloed_ontlasting_helder_zit,"['bloed', 'ontlasting', 'helder', 'zit', 'soms', 'stoelgang', 'erbij', 'gevonden', 'rood', 'keer']","['Af en toe alleen wat bloed bij de ontlasting.', 'Nog steeds veel bloed bij de ontlasting.', 'Ik heb nog steeds bloed bij de ontlasting.']",63,"['blood', 'stool', 'bright', 'present', 'sometimes', 'bowel_movement', 'included', 'found', 'red', 'time']",Medical
50,254,50_formulieren_formulier_prikken_bloedafname,"['formulieren', 'formulier', 'prikken', 'bloedafname', 'bloedprik', 'bloedprikken', 'papieren', 'bloed', 'briefjes', 'sturen']","['Kun jij mij dan weer nieuwe formulieren sturen voor als ik weer bloed moet prikken.', 'Ik zal dan zodra Ik de formulieren heb, bloed gaan prikken.', 'Ik heb geen formulieren meer voor het prikken van het bloed.']",64,"['forms', 'form', 'blood_draw', 'blood_sample', 'blood_test', 'blood_tests', 'papers', 'blood', 'slips', 'send']",Non-Medical
128,254,128_vraagtekens_verschil_naam_sticker,"['vraagtekens', 'verschil', 'naam', 'sticker', 'gelegd', 'besproken', 'sta', 'begrepen', 'keuze', 'genoteerd']","['Er zit wel nog een sticker met "" ""op maar ik neem aan dat de nieuwe sticker er gewoon overheen geplakt word.', ' , Sorry voor die vraagtekens, dat was niet de bedoeling!', 'Overigens die vraagtekens aan het einde van mijn vorige zin waren een emoticon met een knipoog, hahahaha, maar het systeem maakte er vraagtekens van...']",65,"['question_marks', 'difference', 'name', 'sticker', 'placed', 'discussed', 'stand', 'understood', 'choice', 'noted']",Non-Medical
63,246,63_goedemorgen_goedemiddag_goedendag_goede,"['goedemorgen', 'goedemiddag', 'goedendag', 'goede', 'goedenavond', 'dames', 'morgen', 'middag', 'bedankt', 'fijn']","['Goedemorgen,  Op 19 mei jl.', 'Goedemorgen, Ah!', 'Goedemorgen,  Dat zal ik doen!']",66,"['good_morning', 'good_afternoon', 'good_day', 'good', 'good_evening', 'ladies', 'morning', 'afternoon', 'thanks', 'nice']","Non-Medical
"
90,241,90_huis_thuis_voorraad_liggen,"['huis', 'thuis', 'voorraad', 'liggen', 'stuks', 'doosje', 'vinden', 'gebruikt', 'doos', 'gekregen']","['Deze dan een paar keer zodat ik er op voorraad heb liggen.', 'Hij heeft er nog van thuis liggen.', 'Ik heb nog dat thuis liggen.']",67,"['house', 'home', 'supply', 'lying_around', 'pieces', 'box', 'find', 'used', 'package', 'received']",Non-Medical
108,233,108_vriendelijke_groet_alvast_geb,"['vriendelijke', 'groet', 'alvast', 'geb', 'hgl', 'groeten', 'datum', 'bedankt', 'geboorte', 'geboortedatum']","['Met vriendelijke groet,      ', 'Met vriendelijke groet,      ', 'Met vriendelijke groet,       ']",68,"['kind', 'regards', 'already', 'gb', 'hgl', 'greetings', 'date', 'thanks', 'birth', 'date_of_birth']",Non-Medical
47,230,47_uitslagen_bekend_hiervan_inzien,"['uitslagen', 'bekend', 'hiervan', 'inzien', 'horen', 'zien', 'goed', 'doorgefaxt', 'vertellen', 'blij']","['Hoe zijn de uitslagen ?', 'Ik vroeg me af wat hier de uitslagen van waren?', 'Wat zijn de uitslagen?']",69,"['results', 'available', 'of_this', 'view', 'hear', 'see', 'good', 'faxed', 'tell', 'happy']",Medical
71,226,71_keel_hoesten_keelpijn_mond,"['keel', 'hoesten', 'keelpijn', 'mond', 'tandarts', 'neus', 'hoest', 'tandvlees', 'ontstoken', 'tong']","['Beste  / ,  Ik heb al een paar dagen last van mijn keel.', 'Ik hoest nog steeds, geen keelpijn, maar wel door het hoesten een geirriteerde  keel.', 'Ik heb wel nog last van een pijnlijke keel en hoesten.']",70,"['throat', 'coughing', 'sore_throat', 'mouth', 'dentist', 'nose', 'cough', 'gums', 'inflamed', 'tongue']",Medical
46,225,46_pentasa_granulaat_zetpillen_pentaza,"['pentasa', 'granulaat', 'zetpillen', 'pentaza', 'korrels', 'gram', 'recept', 'herhaalrecept', 'gebruik', 'nieuw']","['Ik zou graag een nieuw recept willen voor de pentasa 1 x 4 g per dag.', 'Mag ik opnieuw een recept voor de pentasa  Met vriendelijke  ', 'Pentasa granulated 2gr  ']",71,"['pentasa', 'granules', 'suppositories', 'pentaza', 'grains', 'gram', 'prescription', 'repeat_prescription', 'use', 'new']",Medical
66,222,66_apotheek_fax_margraten_naam,"['apotheek', 'fax', 'margraten', 'naam', 'gegevens', 'derrein', 'jaj', 'gasthuis', 'glacisweg', 'adres']","['Ik ga nog steeds naar apotheek   in het  .', 'Mijn apotheek is   in  .', 'Mijn apotheek is    .']",72,"['pharmacy', 'fax', 'margraten', 'name', 'details', 'area', 'yes_yes', 'hospital', 'glacisweg', 'address']",Non-Medical
88,221,88_dank_bedankt_bericht_info,"['dank', 'bedankt', 'bericht', 'info', 'antwoord', 'fijn', 'hartelijk', 'dankjewel', 'merci', 'super']","[' , dank voor jouw bericht.', 'Dank je wel voor je bericht,  .', ' , dank voor je bericht.']",73,"['thanks', 'thank_you', 'message', 'info', 'answer', 'nice', 'kindly', 'thanks_you', 'merci', 'great']",Non-Medical
103,219,103_ziekenhuis_ontslagen_opgenomen_echo,"['ziekenhuis', 'ontslagen', 'opgenomen', 'echo', 'ambulance', 'komen', 'lig', 'hulp', 'spoedeisende', 'huisartsenpost']","['Hij moet dan toch om 12 uur in het ziekenhuis zijn.', 'Ik ben vrijdag weer in het ziekenhuis.', 'Dan ben ik maandag gewoon in het ziekenhuis.']",74,"['hospital', 'discharged', 'admitted', 'ultrasound', 'ambulance', 'arrive', 'lying', 'help', 'er', 'after_hours_gp']",Medical
48,218,48_mri_scan_mriscan_ctscan,"['mri', 'scan', 'mriscan', 'ctscan', 'uitslag', 'gemaakt', 'gepland', 'ingepland', 'bespreken', 'scans']","['Hallo,   agelopen zaterdag   ben ik voor de MRI scan geweest!', 'Hallo  /   Ik heb op 8 april a.s een MRI scan.', 'Uitslag mri scan.']",75,"['mri', 'scan', 'mri_scan', 'ct_scan', 'result', 'made', 'scheduled', 'planned_in', 'discuss', 'scans']",Medical
65,218,65_bloedverlies_bloed_helder_bloedingen,"['bloedverlies', 'bloed', 'helder', 'bloedingen', 'verlies', 'afvegen', 'rood', 'zat', 'spoortje', 'bloedbeeld']","['Dan wel met veel bloedverlies.', 'Ik heb nog steeds bloedverlies.', 'En veel bloedverlies.']",76,"['blood_loss', 'blood', 'bright', 'bleeding', 'loss', 'wiping', 'red', 'was_there', 'trace', 'blood_count']",Medical
70,215,70_advies_adviseren_tips_helpen,"['advies', 'adviseren', 'tips', 'helpen', 'graag', 'adviezen', 'hiermee', 'raad', 'raden', 'geven']","['Hebben jullie een advies voor mij?', 'Wat is jullie advies hierin?', 'Wat is jullie advies in deze?']",77,"['advice', 'advise', 'tips', 'help', 'gladly', 'recommendations', 'with_this', 'guidance', 'suggest', 'give']",Medical
61,210,61_antibiotica_kuur_antibioticakuur_bacterie,"['antibiotica', 'kuur', 'antibioticakuur', 'bacterie', 'probiotica', 'gekregen', 'voorgeschreven', 'infectie', 'antibioticum', 'blaasontsteking']","['Hoi  ,  ik ben bij de huisarts geweest en heb een antibiotica kuur van 5 dagen gekregen.', 'Nee geen antibiotica kuur gehad.', 'Ik heb antibiotica gekregen.']",78,"['antibiotics', 'course', 'antibiotic_course', 'bacteria', 'probiotics', 'received', 'prescribed', 'infection', 'antibiotic', 'uti']",Medical
49,201,49_endoscopie_afdeling_gepland_datum,"['endoscopie', 'afdeling', 'gepland', 'datum', 'ingepland', 'staat', 'voorbereiding', 'afspraak', 'plaatsvinden', 'endeldarm']","['Op 19 juni heb ik een endoscopie gehad.', 'Op woensdag 11 maart heb ik in   een endoscopie gehad.', 'Ik heb 7 April een endoscopie gehad.']",79,"['endoscopy', 'department', 'scheduled', 'date', 'planned', 'listed', 'preparation', 'appointment', 'take_place', 'rectum']",Medical
69,201,69_ontsteking_ontstekingswaarde_ontstekingen_ontstekingswaarden,"['ontsteking', 'ontstekingswaarde', 'ontstekingen', 'ontstekingswaarden', 'actief', 'ontstekingswaardes', 'hoog', 'reuma', 'zien', 'voorkomen']","['De ontsteking is nl.', 'de ontsteking lijkt niet minder te worden.', 'De ontsteking is nu wel weer weg.']",80,"['inflammation', 'inflammatory_marker', 'inflammations', 'inflammatory_markers', 'active', 'inflammatory_values', 'high', 'rheumatism', 'see', 'appear']",Medical
76,200,76_snelle_reactie_dank_bedankt,"['snelle', 'reactie', 'dank', 'bedankt', 'antwoord', 'handelen', 'dankjewel', 'snel', 'reageert', 'hartelijk']","['Dag  ,  bedankt voor de snelle reactie!', 'Ok  , bedankt voor je snelle reactie.', ' ,  Bedankt voor de snelle reactie.']",81,"['quick', 'response', 'thanks', 'thank_you', 'answer', 'handle', 'thanks_again', 'fast', 'responds', 'kindly']",Non-Medical
56,198,56_paracetamol_tramadol_helpt_pijnstillers,"['paracetamol', 'tramadol', 'helpt', 'pijnstillers', 'pijn', 'ibuprofen', 'pijnstiller', 'diclofenac', 'voorgeschreven', 'onderdrukken']","['En is er, buiten paracetamol, iets tegen de pijn te doen?', 'mag ik paracetamol/ibubrofen?', '  iedere dag vier paracetamol van 500mg.']",82,"['paracetamol', 'tramadol', 'helps', 'painkillers', 'pain', 'ibuprofen', 'painkiller', 'diclofenac', 'prescribed', 'suppress']",Medical
72,193,72_onderzoek_onderzoeken_meedoen_bevolkingsonderzoek,"['onderzoek', 'onderzoeken', 'meedoen', 'bevolkingsonderzoek', 'genteresseerd', 'darmkanker', 'studie', 'mee', 'roesje', 'deel']","['Zou graag mijn bijdrage aan dit onderzoek willen doen.', 'Zelf zou ik graag een onderzoek willen en welke maakt mij niet uit.', 'Wat heeft dit onderzoek uitgewezen?']",83,"['research', 'studies', 'participate', 'screening_program', 'interested', 'colon_cancer', 'study', 'participate', 'sedation', 'part']",Medical
124,191,124_mvrgr_mvg_mvgr_grt,"['mvrgr', 'mvg', 'mvgr', 'grt', 'beckers', 'will', 'boden', 'experimenteren', 'overmacht', 'mpg']","['Mvrgr,  ', 'Mvrgr,   ( )', 'MVRGR,    ']",84,"['kind_regards_abbrev', 'mvg', 'mvgr', 'grt', 'beckers', 'will', 'boden', 'experimenting', 'force_majeure', 'mpg']",Non-Medical
97,191,97_esomeprazol_omeprazol_dgs_daags,"['esomeprazol', 'omeprazol', 'dgs', 'daags', 'pantoprazol', 'capsules', 'chew', 'mesalazine', 'sulfasalazine', 'loperamide']","['Esomeprazol heb ik voorgeschreven gekregen door  .', 'Hallo ik had graag een recept voor esomeprazol 40 mg .', 'Voor de Esomeprazol Aristo, 40 mg.']",85,"['esomeprazole', 'omeprazole', 'daily', 'per_day', 'pantoprazole', 'capsules', 'chew', 'mesalazine', 'sulfasalazine', 'loperamide']",Medical
101,188,101_brief_ontvangen_verwijsbrief_brieven,"['brief', 'ontvangen', 'verwijsbrief', 'brieven', 'handtekening', 'briefjes', 'verschijnen', 'stempel', 'post', 'voorzien']","['Dus als dat zo is zou ik dan zo’n brief kunnen ontvangen?', 'Hallo,  Ik heb de brief m.tb.t.', ' ,   Deze brief heb ik.']",86,"['letter', 'received', 'referral_letter', 'letters', 'signature', 'slips', 'appear', 'stamp', 'post', 'provided']",Non-Medical
74,188,74_slijm_ontlasting_bloed_zit,"['slijm', 'ontlasting', 'bloed', 'zit', 'soms', 'diarree', 'spoortje', 'zichtbaar', 'last', 'prop']","['Sinds 2 dagen heb ik weer wat slijm en bloed bij de ontlasting.', 'Geen bloed of slijm bij de ontlasting.', 'Ik heb eigenlijk nooit veel bloed of slijm bij mijn ontlasting gehad.']",87,"['mucus', 'stool', 'blood', 'present', 'sometimes', 'diarrhea', 'trace', 'visible', 'discomfort', 'clump']",Medical
73,185,73_gebeld_persoonlijk_bellen_mogelijkheden,"['gebeld', 'persoonlijk', 'bellen', 'mogelijkheden', 'vragen', 'spreken', 'gesprek', 'eiland', 'bespreken', 'belt']","['Ik zou haar graag persoonlijk spreken kan dat?', 'ze zou mij daar donderdag voor terug bellen maar ik ben niet gebeld.', 'Ik wil heel graag met haar overleggen wat de mogelijkheden zijn en wanneer ze het niet weet, de mogelijkheden bekijken om een second opinion in overleg aan te vragen.']",88,"['called', 'personally', 'calling', 'options', 'questions', 'speak', 'conversation', 'island', 'discuss', 'calls']",Non-Medical
87,185,87_diarree_buikpijn_buikgriep_diaree,"['diarree', 'buikpijn', 'buikgriep', 'diaree', 'water', 'overgeven', 'last', 'remmer', 'overgegeven', 'pijn']","['En heb nog diarree.', 'Af en toe heb ik ook wat diarree.', 'Ik ga nu de elfde dag met onverminderde diarree in; ik ben nu ca.']",89,"['diarrhea', 'abdominal_pain', 'stomach_flu', 'diarrhoea_spelling_alt', 'water', 'vomiting', 'trouble', 'anti_diarrheal', 'vomited', 'pain']",Medical
120,182,120_ophalen_halen_voorraad_afhalen,"['ophalen', 'halen', 'voorraad', 'afhalen', 'inleveren', 'balie', 'levering', 'morgen', 'brengen', 'meteen']","['Ik ga het donderdag ophalen.', 'Of moet ik het ergens ophalen?', 'Kan ik ze ook nu ophalen?']",90,"['pick_up', 'collect', 'supply', 'collect_from', 'submit', 'counter', 'delivery', 'tomorrow', 'bring', 'immediately']",Medical
139,182,139_last_winden_soms_overdag,"['last', 'winden', 'soms', 'overdag', 'vervelend', 'best', 'hinder', 'heftig', 'weekend', 'sochtends']","['Door de dag heb ik hier geen last van.', 'De eerste dagen heb ik nergens last van gehad.', 'Heb er (vooralsnog) geen last van.']",91,"['discomfort', 'gas', 'sometimes', 'during_day', 'annoying', 'quite', 'bothersome', 'intense', 'weekend', 'morning']",Medical
62,181,62_vitamine_vitamines_doorsturen_spuit,"['vitamine', 'vitamines', 'doorsturen', 'spuit', 'vit', 'calcium', 'vitaminen', 'injecties', 'injectie', 'recept']","['De vitamine B12 die ook geprikt was, was 220.', 'Ook zou ik graag nog nieuwe herhalingsrecepten willen hebben voor mijn vitamine B12.', 'vitamine B12 in (25 ug).']",92,"['vitamin', 'vitamins', 'forward', 'injection', 'vit', 'calcium', 'vitamin_supplements', 'injections', 'injection_single', 'prescription']",Medical
81,176,81_slijm_bloed_aambeien_soms,"['slijm', 'bloed', 'aambeien', 'soms', 'dun', 'normaal', 'vocht', 'slijmbeursontsteking', 'bloedverlies', 'komt']","['Verder geen bloed of slijm.', 'Maar wel nog veel bloed en slijm.', 'Maar geen bloed of slijm.']",93,"['mucus', 'blood', 'hemorrhoids', 'sometimes', 'thin', 'normal', 'fluid', 'bursitis', 'blood_loss', 'appears']",Medical
109,173,109_injectie_injecties_infusen_hyrimoz,"['injectie', 'injecties', 'infusen', 'hyrimoz', 'gezet', 'mtx', 'injecteren', 'zetten', 'volgende', 'spuit']","[' , Ik heb inmiddels een afspraak voor de injectie as vrijdag.', 'Zal ik het dan over 2 weken doen voor de injectie.', 'Heb 18 april de 2e injectie gehad.']",94,"['injection', 'injections', 'infusions', 'hyrimoz', 'administered', 'mtx', 'injecting', 'give_injection', 'next', 'shot']",Medical
59,171,59_klysmas_klysma_gebruikt_klismas,"['klysmas', 'klysma', 'gebruikt', 'klismas', 'gebruiken', 'salofalk', 'budenofalk', 'proberen', 'bestellen', 'begonnen']","['Zou ik nog een recept kunnen krijgen voor de klysmas ?', 'Moet ik dan nog klysmas gebruiken ?', 'Ik heb nu geen klysmas meer.']",95,"['enemas', 'enema', 'used', 'enemas_alt', 'use', 'salofalk', 'budenofalk', 'try', 'order', 'started']",Medical
136,171,136_jeukt_rood_plek_bultjes,"['jeukt', 'rood', 'plek', 'bultjes', 'rode', 'pijnlijk', 'gezwollen', 'voelt', 'jeuk', 'dik']","['De rode vlek op mijn been is helaas nog steeds erg groot en rood maar wel minder dik.', 'Waar ik spuit wordt het nu rood, warm, dik, gezwollen (laatste keer 10-10cm rondom injectieplaats) en jeukt het.', 'De rode plek rondom de spuit is nu circa 15 cm (ovale vorm), is iets gezwollen en jeukt.']",96,"['itchy', 'red', 'spot', 'bumps', 'redness', 'painful', 'swollen', 'feels', 'itch', 'thick']",Medical
77,169,77_lab_biologicals_chemie_labformulieren,"['lab', 'biologicals', 'chemie', 'labformulieren', 'klinische', 'labbriefjes', 'labformulier', 'bureau', 'potje', 'labuitslagen']","['Overige lab uitslagen ook goed?', 'Hallo  / ,  Hoe was mijn lab van afgelopen dinsdag?', 'Wel een lab 4 en lab 1 formulier.']",97,"['lab', 'biologics', 'chemistry', 'lab_forms', 'clinical', 'lab_slips', 'lab_form', 'desk', 'stool_pot', 'lab_results']",Medical
94,169,94_verwijzing_doorgestuurd_komen_neer,"['verwijzing', 'doorgestuurd', 'komen', 'neer', 'verhuisd', 'terecht', 'service', 'geb', 'schiphorst', 'ritje']","['Worden de resultaten dan doorgestuurd naar  ?', 'Dit zou naar   doorgestuurd worden.', 'Dit mag doorgestuurd worden naar de   in  .']",98,"['referral', 'forwarded', 'arrive', 'down', 'moved', 'ended_up', 'service', 'gb', 'schiphorst', 'trip']",Non-Medical
85,168,85_slaap_slapen_wakker_bed,"['slaap', 'slapen', 'wakker', 'bed', 'geslapen', 'nachten', 'nacht', 'nachtrust', 'vannacht', 'snachts']","['Vooral slapen is een ramp.', 'Hier kon ik niet van slapen.', 'Slaap heel veel.']",99,"['sleep', 'sleeping', 'awake', 'bed', 'slept', 'nights', 'night', 'sleep_quality', 'last_night', 'at_night']",Medical
68,165,68_ijzer_ijzerinfuus_ijzergehalte_ijzertekort,"['ijzer', 'ijzerinfuus', 'ijzergehalte', 'ijzertekort', 'laag', 'ijzertabletten', 'tekort', 'infuus', 'gehalte', 'magnesium']","['Als het ijzer te laag wordt, heeft   me de vorige keer een ijzer infuus voorgeschreven.', 'Ik heb vorige week mijn ijzer infuus gehad.', 'Hallo,   Op 6 augustus heb ik mijn ijzer infuus gehad.']",100,"['iron', 'iron_infusion', 'iron_level', 'iron_deficiency', 'low', 'iron_tablets', 'deficiency', 'infusion', 'level', 'magnesium']",Medical
96,162,96_krampen_buikkrampen_buikklachten_kramp,"['krampen', 'buikkrampen', 'buikklachten', 'kramp', 'flinke', 'last', 'lucht', 'voeten', 'soms', 'gepaard']","['En heb je misschien iets tegen de krampen.', 'Een beetje minder krampen.', 'Is er iets wat ik kan nemen zodat krampen minder zijn?']",101,"['cramps', 'abdominal_cramps', 'abdominal_complaints', 'cramp', 'severe', 'discomfort', 'gas', 'feet', 'sometimes', 'accompanied']",Medical
89,161,89_snelle_reactie_bedankt_dank,"['snelle', 'reactie', 'bedankt', 'dank', 'antwoord', 'dankjewel', 'hulp', 'reageren', 'snel', 'nogmaals']","['bedankt voor de snelle reactie', 'Bedankt voor de snelle reactie iris!', 'Bedankt voor uw snelle reactie.']",102,"['quick', 'response', 'thank_you', 'thanks', 'answer', 'thanks_again', 'help', 'responding', 'fast', 'again']",Non-Medical
141,161,141_nakijken_mening_denken_voorstel,"['nakijken', 'mening', 'denken', 'voorstel', 'hierover', 'achteraan', 'hoop', 'akkoord', 'visie', 'begrijpt']","['Graag jullie mening hierover.', 'Ik hoor graag wat uw mening hierover.', 'Graag hoor ik uw mening hierover.']",103,"['check', 'opinion', 'think', 'proposal', 'about_this', 'follow_up', 'hope', 'agree', 'view', 'understand']",Medical
133,158,133_controle_jaarlijkse_controles_afspraak,"['controle', 'jaarlijkse', 'controles', 'afspraak', 'controleafspraak', 'controlestrook', 'jaar', 'regelen', 'inplannen', 'komen']","['Of moet ik zelf een afspraak maken voor controle in december?', 'Op 20 januari heb ik weer een controle afspraak bij  .', 'Op   heb ik een controle afspraak bij  .']",104,"['control', 'annual', 'checkups', 'appointment', 'follow_up_appointment', 'control_strip', 'year', 'arrange', 'schedule', 'come_in']",Medical
106,157,106_huid_gezicht_jeuk_droge,"['huid', 'gezicht', 'jeuk', 'droge', 'rode', 'vlekken', 'huiduitslag', 'acne', 'haaruitval', 'hoofdhuid']","['Hallo   en  ,  Momenteel heb ik weer last van mijn huid.', 'Verder heb ik een ontzettend droge huid gekregen vooral mijn gezicht en hals.', 'Daarnaast merk ik op dat ik op mijn huid wat uitslag heb en sinds kort rode vlekken in mijn gezicht begin te krijgen.']",105,"['skin', 'face', 'itch', 'dry', 'red', 'spots', 'rash', 'acne', 'hair_loss', 'scalp']",Medical
132,156,132_misselijk_misselijkheid_overgeven_eetlust,"['misselijk', 'misselijkheid', 'overgeven', 'eetlust', 'braken', 'gevoel', 'eten', 'maag', 'opgeblazen', 'vermoeid']","['Ik heb daar vannacht van moeten overgeven omdat ik er zo misselijk van was.', 'En ik ben ook misselijk', 'Ook ben ik nog erg misselijk en moet ik 1x pd overgeven.']",106,"['nauseous', 'nausea', 'vomiting', 'appetite', 'throwing_up', 'feeling', 'eating', 'stomach', 'bloated', 'tired']",Medical
86,156,86_kilo_gewicht_afgevallen_weeg,"['kilo', 'gewicht', 'afgevallen', 'weeg', 'gewichtsverlies', 'afvallen', 'sporten', 'conditie', 'woog', 'vallen']","['Zo ben ik na ongeveer een jaar tien kilo afgevallen.', 'Ben nu al een paar kilo afgevallen.', 'Toen ben ik ook 3 kilo afgevallen.']",107,"['kilo', 'weight', 'lost_weight', 'weigh', 'weight_loss', 'losing_weight', 'exercise', 'condition', 'weighed', 'drop']",Medical
152,153,152_duidelijkheid_informatie_vertellen_geven,"['duidelijkheid', 'informatie', 'vertellen', 'geven', 'nagedacht', 'antwoord', 'weten', 'hoop', 'info', 'daarover']","['Ik hoop dat dit meer duidelijkheid zal verschaffen.', 'Kunt u mij misschien meer duidelijkheid geven?', 'Zou graag duidelijkheid willen krijgen.']",108,"['clarity', 'information', 'tell', 'give', 'thought_about', 'answer', 'know', 'hope', 'info', 'about_it']",Medical
107,152,107_bericht_bedankt_berichtje_dankjewel,"['bericht', 'bedankt', 'berichtje', 'dankjewel', 'dank', 'terugkoppeling', 'mail', 'mededeling', 'okay', 'doorsturen']","['bedankt voor het bericht.', 'Bedankt voor het bericht.', 'Bedankt voor het attente bericht.']",109,"['message', 'thank_you', 'message_small', 'thanks_again', 'thanks', 'feedback', 'email', 'notification', 'okay', 'forward']",Non-Medical
75,150,75_coloscopie_colonscopie_colonoscopie_gastroscopie,"['coloscopie', 'colonscopie', 'colonoscopie', 'gastroscopie', 'gepland', 'ondergaan', 'beelden', 'staat', 'biopten', 'sigmoidoscopie']","['Beste,  Vrijdag 22-4 a.s. heb ik een afspraak voor een coloscopie.', 'Ik heb de afspraak met   dat zij of   de coloscopie doet.', 'Ik heb 7 mei een coloscopie gehad.']",110,"['colonoscopy', 'colonoscopy_alt', 'colonoscopie', 'gastroscopy', 'scheduled', 'undergo', 'images', 'listed', 'biopsies', 'sigmoidoscopy']",Medical
79,148,79_dermatoloog_dermatologie_doorverwijzing_verwijzing,"['dermatoloog', 'dermatologie', 'doorverwijzing', 'verwijzing', 'verwijsbrief', 'doorverwezen', 'wondjes', 'ivm', 'haaruitval', 'vervolgafspraak']","['Morgen ga ik wederom naar mijn dermatoloog!', 'Of naar de dermatoloog.', 'Ik moest toch naar dermatoloog.']",111,"['dermatologist', 'dermatology', 'referral', 'referral_letter', 'referral_form', 'referred', 'wounds', 'regarding', 'hair_loss', 'follow_up_appointment']",Medical
84,143,84_zetpillen_pillen_gebruik_gebruiken,"['zetpillen', 'pillen', 'gebruik', 'gebruiken', 'herhaalrecept', 'gestopt', 'anticonceptiepil', 'voorgeschreven', 'red', 'doosje']","['Zelfde dan de zetpillen.', 'Mijn zetpillen zijn bijna op.', 'Daarna weer zetpillen ?']",112,"['suppositories', 'pills', 'use', 'use_alt', 'repeat_prescription', 'stopped', 'birth_control_pill', 'prescribed', 'just', 'box']",Medical
83,139,83_thiosix_herhaalrecept_nieuw_recept,"['thiosix', 'herhaalrecept', 'nieuw', 'recept', 'calcium', 'uitschrijven', 'apotheek', 'tabletten', 'aub', 'kauwtabletten']","['Is het mogelijk nog een recept te krijgen voor de thiosix?', 'Hoi   &  ,  Mijn Thiosix 10 mg is bijna op.', ' ,  Mijn medicatie van Thiosix is bijna op.']",113,"['thiosix', 'repeat_prescription', 'new', 'prescription', 'calcium', 'write_out', 'pharmacy', 'tablets', 'please', 'chewable_tablets']",Medical
95,138,95_mdl_arts_mdlarts_verpleegkundige,"['mdl', 'arts', 'mdlarts', 'verpleegkundige', 'ibd', 'doorverwezen', 'huisarts', 'artsen', 'afspraak', 'patinten']","['Mijn vraag is nu wanneer ik een volgende afspraak met MDL heb of ga krijgen.', 'Hallo,  Ik ben helaas niet gebeld door mn MDL arts volgens afspraak.', 'dit moet 14 dagen voor afspraak MDL arts.']",114,"['gastroenterology', 'doctor', 'gastroenterologist', 'nurse', 'ibd', 'referred', 'general_practitioner', 'doctors', 'appointment', 'patients']",Medical
98,135,98_vragenlijst_ingevuld_invullen_vragenlijsten,"['vragenlijst', 'ingevuld', 'invullen', 'vragenlijsten', 'vullen', 'vragen', 'antwoorden', 'lijst', 'doorgekomen', 'maandelijks']","['Volgens mij heb ik deze vragenlijst al ingevuld🤔', 'Vragenlijst ingevuld.', 'Ja, ik heb een vragenlijst ingevuld.']",115,"['questionnaire', 'filled_in', 'fill_in', 'questionnaires', 'fill', 'questions', 'answers', 'list', 'received', 'monthly']",Medical
135,133,135_toilet_slijm_ontlasting_papier,"['toilet', 'slijm', 'ontlasting', 'papier', 'keer', 'erbij', 'bloed', 'soms', 'waarvan', 'dunne']","['Maar verder heb ik geen last van mijn darmen en hoef ik maar 2 tot 3 keer per dag naar het toilet met vaste of breierige ontlasting.', 'Ik ga 1 of twee keer per dag naar toilet en de ontlasting is dan normaal.', 'Ook ga ik vaker snel naar het toilet met dunne ontlasting.']",116,"['toilet', 'mucus', 'stool', 'paper', 'times', 'along_with', 'blood', 'sometimes', 'of_which', 'loose']",Medical
125,133,125_psylliumvezels_metamucil_vezels_suikervrij,"['psylliumvezels', 'metamucil', 'vezels', 'suikervrij', 'teva', 'orange', 'volcolon', 'foliumzuur', 'recept', 'magnesiumhydroxide']","['Voor de psylliumvezels (suikervrij Teva) zou ik graag een nieuw recept ontvangen.', 'Ik gebruik nu Psylliumvezels, dus geen Metamucil.', 'Voor de Psylliumvezels   Orange Suikervrij, 90 stuks granulaat, heeft ze Metamucil uitgeschreven en dat terwijl ik altijd de Psylliumvezels krijg omdat ik die Metamucil niet verdraag.']",117,"['psyllium_fibers', 'metamucil', 'fibers', 'sugar_free', 'teva', 'orange', 'volcolon', 'folic_acid', 'prescription', 'magnesium_hydroxide']",Medical
134,131,134_zalf_crme_creme_diltiazem,"['zalf', 'crme', 'creme', 'diltiazem', 'druppels', 'gekregen', 'helpt', 'kruiden', 'ontstekingsremmende', 'gesmeerd']","['De zalf had ik via de huisarts gekregen inderdaad.', 'Zalf: 1x per dag triamcinolonacet en 2x per dag zinkoxidesmeersel.', 'inmiddels heb ik er een week of vijf zalf opgesmeerd en is het bijna weg.']",118,"['ointment', 'cream_abbrev', 'cream', 'diltiazem', 'drops', 'received', 'helps', 'herbal', 'anti_inflammatory', 'applied']",Medical
105,128,105_verzekering_zorgverzekering_risico_vergoed,"['verzekering', 'zorgverzekering', 'risico', 'vergoed', 'aanvraag', 'levensverzekering', 'uwv', 'gegevens', 'medische', 'zorgverzekeraar']","['Helaas heeft de verzekering nog geen gegevens mogen ontvangen.', '- Er is een aanvraag gedaan vanuit de verzekeraar Allianz voor een overlijdensrisico verzekering, hiervoor is informatie opgevraagd bij het ziekenhuis maar hier is geen reactie op gekomen.', 'Ik heb een aanvraag gedaan voor overlijdensrisico verzekering.']",119,"['insurance', 'health_insurance', 'risk', 'covered', 'application', 'life_insurance', 'social_security', 'details', 'medical', 'insurer']",Non-Medical
