,Count,Name,Representation,Representative_Docs,topic_num,category_grouped,translation
69,117,69_sessie_inloggen_sessies_melding,"['sessie', 'inloggen', 'sessies', 'melding', 'account', 'wachtwoord', 'staat', 'ingevuld', 'invullen', 'ingelogd']","['Ook dat ik steeds een mail krijg dat er een sessie voor mij klaar staat en als ik inlog dan staat er geen sessie voor mij klaar.', 'Of hebben jullie de sessie binnen ?', 'deze sessie is reeds geweest.']",69,non-medical,"Topic 69: session, log in, sessions, notification"
70,115,70_zorgen_bang_ongerust_begin,"['zorgen', 'bang', 'ongerust', 'begin', 'angstig', 'beangstigend', 'geschrokken', 'hierdoor', 'bezorgd', 'enorm']","['Is er iets om mij zorgen te moeten maken?', 'Is dit iets waar ik me zorgen om moet maken?', 'Daar maak ik me dan zorgen over.']",70,medical,"Topic 70: worries, afraid, anxious, beginning"
71,112,71_hoofdpijn_duizelig_duizeligheid_hoofd,"['hoofdpijn', 'duizelig', 'duizeligheid', 'hoofd', 'migraine', 'hartkloppingen', 'licht', 'last', 'erge', 'gevoel']","['Hoofdpijn heb ik minder vaak.', 'Ook last van hoofdpijn.', 'Vandaag is het vrijdag ben nog steeds een beetje duizelig en hoofdpijn is nog latent aanwezig.']",71,medical,"Topic 71: headache, dizzy, dizziness, head"
72,109,72_ontsteking_ontstekingen_actief_genezen,"['ontsteking', 'ontstekingen', 'actief', 'genezen', 'reuma', 'voorkomen', 'teken', 'aanwezig', 'uveitis', 'intensief']","['Dit zou een ontsteking kunnen worden.', 'de ontsteking lijkt niet minder te worden.', 'De ontsteking is nl.']",72,medical,"Topic 72: inflammation, inflammations, active, healing"
73,106,73_ogen_oogarts_oog_wijsheid,"['ogen', 'oogarts', 'oog', 'wijsheid', 'oogontsteking', 'ontstoken', 'opticien', 'rood', 'zicht', 'droge']","['Beste,  Ik ben 30 juli bij [PERSOON] geweest voor ontstoken ogen.', 'Ik heb ook de ogen ontstoken.', 'Met mijn ogen gaat het prima, geen last meer gehad.']",73,medical,"Topic 73: eyes, ophthalmologist, eye, wisdom"
74,96,74_proberen_geprobeerd_lukt_bewust,"['proberen', 'geprobeerd', 'lukt', 'bewust', 'voorkeur', 'setje', 'waard', 'gekozen', 'nagedacht', 'roken']","['Ik ga proberen om dat deze week nog te doen.', 'Ik ga het zo proberen.', 'Zou je het nog eens willen proberen?']",74,medical,"Topic 74: try, tried, succeed, consciously"
75,95,75_excuses_sorry_late_vele,"['excuses', 'sorry', 'late', 'vele', 'ongemak', 'excuus', 'geduld', 'reactie', 'jammer', 'lastig']","['Mijn excuses voor de overlast.', 'Hallo,  Excuses voor de late reactie.', 'Mijn excuses voor de late reactie.']",75,non-medical,"Topic 75: apologies, sorry, late, many"
76,95,76_psylliumvezels_metamucil_suikervrij_teva,"['psylliumvezels', 'metamucil', 'suikervrij', 'teva', 'orange', 'macrogol', 'magnesiumhydroxide', 'volcolon', 'movicolon', 'recept']","['Voor de psylliumvezels (suikervrij Teva) zou ik graag een nieuw recept ontvangen.', 'Voor de Psylliumvezels [PERSOON] Orange Suikervrij, 90 stuks granulaat, heeft ze Metamucil uitgeschreven en dat terwijl ik altijd de Psylliumvezels krijg omdat ik die Metamucil niet verdraag.', 'Ik gebruik nu Psylliumvezels, dus geen Metamucil.']",76,medical,"Topic 76: psyllium fibers, Metamucil, sugar-free, Teva"
77,94,77_scopie_gepland_sedatie_staat,"['scopie', 'gepland', 'sedatie', 'staat', 'plaatsvinden', 'botscan', 'getroffen', 'lezer', 'dames', 'besproken']","['Goedemorgen,  Vrijdag 9 juli heb ik om 8.30 uur een scopie.', 'ls,as donderdag 14 januari om 15.45 is de scopie gepland.', '[PERSOON]  (Zelf heb ik 11 augustus weer een scopie)']",77,medical,"Topic 77: scopy, scheduled, sedation, planned"
78,93,78_bijwerkingen_ciclosporine_effect_zeer,"['bijwerkingen', 'ciclosporine', 'effect', 'zeer', 'hoge', 'veroorzaken', 'mogelijke', 'maag', 'lange', 'noemde']","['Zouden dit bijwerkingen kunnen zijn?', 'Maar ook nu weer bijwerkingen.', 'Kunnen dit gewoon bijwerkingen zijn?']",78,medical,"Topic 78: side effects, ciclosporin, effect, very"
79,90,79_tandarts_mond_tong_tandvlees,"['tandarts', 'mond', 'tong', 'tandvlees', 'kaakchirurg', 'ontstoken', 'kaakchirurgie', 'aften', 'tanden', 'gehemelte']","[""Ook ben ik bij de tandarts geweest en heb ik foto's van de kaak laten maken en dit zit zag er normaal uit, het tandvlees was licht ontstoken, maar volgens de tandarts kan hier niet de zwelling in mijn gezicht van af komen."", 'Hallo [PERSOON], Ik ben net bij de tandarts geweest en die maakt zich een beetje zorgen om mijn tong.', 'Gisteren bij de tandarts geweest, ik heb geen ontstoken tandvlees.']",79,medical,"Topic 79: dentist, mouth, tongue, gums"
80,85,80_vermoeidheid_vermoeidheidsklachten_last_aanwezig,"['vermoeidheid', 'vermoeidheidsklachten', 'last', 'aanwezig', 'mentaal', 'houdt', 'enorme', 'toegenomen', 'algehele', 'chronische']","['Verder gaat alles redelijk, op de vermoeidheid en de vergeetachtigheid na.', 'Verder last van vermoeidheid.', 'Ook de vermoeidheid is eigenlijk niet te doen.']",80,medical,"Topic 80: fatigue, fatigue complaints, trouble, present"
81,84,81_gehoord_vernomen_heden_hierover,"['gehoord', 'vernomen', 'heden', 'hierover', 'helaas', 'hierop', 'snap', 'nieuws', 'kwartaal', 'deliteren']","['Ik heb hier niets over gehoord.', 'Ik heb hier namelijk niks meer over gehoord.', 'Ook hier heb ik nog niks over gehoord.']",81,non-medical,"Topic 81: heard, learned, present, about this"
82,80,82_reumatoloog_reumatologie_artrose_verwijzing,"['reumatoloog', 'reumatologie', 'artrose', 'verwijzing', 'fibromyalgie', 'hematoloog', 'gewrichtsklachten', 'afspraak', 'consult', 'reuma']","['Helaas kan de Reumatoloog niks voor me doen.', '25 juni heb ik een afspraak bij de reumatoloog.', '[PERSOON], Vandaag 18 juli afspraak bij reumatoloog.']",82,medical,"Topic 82: rheumatologist, rheumatology, arthrosis, referral"
83,78,83_ustekinumab_ustekinimab_the_and,"['ustekinumab', 'ustekinimab', 'the', 'and', 'injection', 'injectie', 'started', 'spiegel', 'blood', 'spuit']","['Ik krijg donderdag 08 juli mijn 2e spuit Ustekinumab.', 'Ik ben geprikt op ustekinumab op 28 januari.', 'gebruik van Ustekinumab.']",83,medical,"Topic 83: ustekinumab, ustekinimab, the, and"
84,78,84_mis_gegaan_fout_misgegaan,"['mis', 'gegaan', 'fout', 'misgegaan', 'hand', 'gebeuren', 'orde', 'gaat', 'communicatie', 'nakijken']","['Misschien is daar iets mis gegaan.', 'Kan het zijn dat hier iets is mis gegaan??', 'Blijkbaar is er iets mis gegaan en had ik op 7 december jl.']",84,non-medical,"Topic 84: went, wrong, error, went wrong"
85,78,85_azathioprine_daags_tablet_klinion,"['azathioprine', 'daags', 'tablet', 'klinion', 'compres', 'ampul', 'forlax', 'code', 'maanden', 'vergoed']","['hallo [PERSOON]/[PERSOON]  ik zou graag een recept voor 3 maanden willen hebben van : Azathioprine 25 mg 1 x daags 1 tablet Azathioprine 50 mg 1 x daags 2 tablet Forlax 10 gram 4 x daags 1 zakje vitamine b12 ampul 1 x per 2 maanden klinion compres extra 10 x 20 6 stuks per dag hier wel code B4 bij zetten anders krijg ik ze niet vergoed.', 'Ook bij gebruik van azathioprine?', 'Hoi,  De azathioprine is op.']",85,medical,"Topic 85: azathioprine, daily, tablet, Klinion"
86,77,86_mening_denken_akkoord_hierover,"['mening', 'denken', 'akkoord', 'hierover', 'achteraan', 'voorstel', 'vind', 'standpunt', 'hoor', 'hiermee']","['Graag jullie mening hierover.', 'Graag hoor ik uw mening hierover.', 'Ik hoor graag wat uw mening hierover.']",86,non-medical,"Topic 86: opinion, think, agree, about this"
87,76,87_stress_rol_periode_werk,"['stress', 'rol', 'periode', 'werk', 'stressvolle', 'speelt', 'spanning', 'druk', 'grote', 'lijf']","['Hallo [PERSOON],  Ja ik weet ook dat het nu door de stress komt.', 'Ik heb de laatste tijd veel stress gehad en nog steeds wel.', 'Ik ga er nog steeds vanuit dat het door de stress komt.']",87,medical,"Topic 87: stress, role, period, work"
88,76,88_stoma_stomaverpleegkundige_verwijderd_operatie,"['stoma', 'stomaverpleegkundige', 'verwijderd', 'operatie', 'darm', 'dikke', 'tijdelijk', 'opinion', 'second', 'chirurg']","['Het gaat niet zo goed want de pijn aan mijn stoma is niet uit te houden.', 'Ik heb inmiddels al 1,5 jaar een stoma.', 'Hoi [PERSOON], Ik heb vooral heel veel last van het stoma.']",88,medical,"Topic 88: stoma, stoma nurse, removed, operation"
89,76,89_voorgeschreven_geadviseerd_voorschrijven_gaf,"['voorgeschreven', 'geadviseerd', 'voorschrijven', 'gaf', 'geldt', 'wilt', 'medicatie', 'overleggen', 'behandeld', 'gevraagd']","['Zij gaf aan dat dit mijn klachten zou kunnen verklaren en zou normaliter ijzertabletten voorschrijven in een dergelijke situatie.', 'Ze heeft buscopan 10 Mg 3 x per dag voorgeschreven.. indien dit niet helpt wilt ze mij vrijdag toch opnemen voor verdere onderzoeken', ""Daarnaast heeft zij '[PERSOON] 60mg' voorgeschreven; deze medicatie dien ik te slikken, als ik ondanks injectie klachten heb.""]",89,medical,"Topic 89: prescribed, advised, prescribing, gave"
90,75,90_foto_bestand_beeld_groot,"['foto', 'bestand', 'beeld', 'groot', 'stuur', 'bijgevoegd', 'toegevoegd', 'lukte', 'bijvoegen', 'fotos']","['Bij deze de foto.', 'Hier de andere foto', 'Ik kan nergens een foto invoegen.']",90,non-medical,"Topic 90: photo, file, image, large"
91,73,91_sporten_sport_conditie_wandelen,"['sporten', 'sport', 'conditie', 'wandelen', 'lichamelijke', 'fysiotherapeut', 'fysio', 'lopen', 'oefeningen', 'fit']","['Ik deed vaker in de week een uur op een dag sporten.', 'Ik ga nu sporten, en ben na 11 uur zeker thuis.', 'Zonder te sporten of iets te doen.']",91,medical,"Topic 91: sports, exercise, condition, walking"
92,73,92_oke_bedankt_komende_inhouden,"['oke', 'bedankt', 'komende', 'inhouden', 'vergissing', 'jazeker', 'yes', 'hoogte', 'verzorgen', 'probleem']","['oke, zal ik doen', 'oke dat zal ik doen', 'Oke dat zal ik doen.']",92,non-medical,"Topic 92: okay, thanks, upcoming, include"
93,72,93_helpen_betekenen_hoop_hiermee,"['helpen', 'betekenen', 'hoop', 'hiermee', 'inplannen', 'geven', 'begrijpt', 'oplossing', 'antwoord', 'regelen']","['Ik hoop dat jullie mij kunnen helpen!!', 'Ik hoop dat u mij kunt helpen.', 'Ik hoop dat u kunt helpen.']",93,non-medical,"Topic 93: help, mean, hope, with this"
94,72,94_drinken_liter_drink_water,"['drinken', 'liter', 'drink', 'water', 'gedronken', 'alcohol', 'vloeistof', 'vocht', 'thee', 'dorst']","['Ik heb volgende week zondag ( 23 december ) een scan en moet dan weer een liter vloeistof drinken.', 'Ik drink iets meer, maar zeker geen liter meer.', '- Drinken: ik denk te weinig, een liter maar echt niet meer dan 1,5 liter.']",94,medical,"Topic 94: drinking, liter, drink, water"
95,68,95_griepprik_griepspuit_waterpokken_griep,"['griepprik', 'griepspuit', 'waterpokken', 'griep', 'oproep', 'jaarlijkse', 'aanmerking', 'huisarts', 'halen', 'groep']","['Beste [PERSOON]/[PERSOON],  Ik heb nog geen oproep ontvangen voor de griepprik.', 'Hallo [PERSOON]/ [PERSOON]  Even een vraag m.b.t de griepprik.', 'Nu echter kun je de griepprik niet later laten zetten.']",95,medical,"Topic 95: flu shot, flu injection, chickenpox, flu"
96,67,96_maagbeschermer_maagbeschermers_kalktabletten_nieuw,"['maagbeschermer', 'maagbeschermers', 'kalktabletten', 'nieuw', 'maag', 'maagzuur', 'goedemorgen', 'maagzuurremmers', 'hrb', 'gebruiken']","['Goedemorgen,  Zou u een nieuw recept van de maagbeschermer en kalktabletten willen sturen naar mijn apotheek.', 'Goedemorgen, Zou u een nieuw recept van de kalktabletten en maagbeschermer naar de apotheek kunnen sturen?', 'Goedemorgen,  Zou u een nieuw recept van de Kalktabletten en de maagbeschermer willen sturen naar mijn apotheek.']",96,medical,"Topic 96: stomach protector, stomach protectors, calcium tablets, new"
97,66,97_ibd_verpleegkundige_digid_chili,"['ibd', 'verpleegkundige', 'digid', 'chili', 'mensen', 'ervaar', 'app', 'verklaring', 'team', 'voorkomt']","['Beste IBD-verpleegkundige,  Ik heb nog een vraagje.', 'Beste IBD-verpleegkundige,  Bedankt voor de reactie.', 'Dit had niets met de IBD te maken.']",97,non-medical,"Topic 97: IBD, nurse, DigiD, Chili"
98,65,98_beclometason_zetpillen_beclomethason_beclametason,"['beclometason', 'zetpillen', 'beclomethason', 'beclametason', 'beclamethason', 'gebruik', 'duspetal', 'budesonide', 'voorgeschreven', 'supp']","['Hallo,  Ik heb sinds vorige week maandag beclometason zetpillen.', 'Goedemorgen, De Beclometason 3 mg. zetpillen die ik gebruik zijn op.', 'Goedemorgen, De Beclometason 3 mg. zetpillen die ik gebruik zijn op.']",98,medical,"Topic 98: beclometasone, suppositories, beclomethasone, beclametason"
99,65,99_mezavant_mesavant_mesalazine_calcium,"['mezavant', 'mesavant', 'mesalazine', 'calcium', 'vitamine', 'pillen', 'tabletten', 'voorraad', 'recept', 'magnesium']","['Of enkel en alleen het nieuwe recept (Mezavant) ?', 'Mezavant 1200 mg 2x 2 per dag.', 'De medicatie is mezavant 1200mg 3x per dag.']",99,medical,"Topic 99: Mezavant, Mesavant, mesalazine, calcium"
100,64,100_nakijken_aub_verlengen_aanpassen,"['nakijken', 'aub', 'verlengen', 'aanpassen', 'kijken', 'navragen', 'controleren', 'zien', 'orde', 'zinnig']","['Zouden jullie dit willen nakijken?', 'Zouden jullie dit voor me willen nakijken.', 'Zou u dit willen nakijken?']",100,non-medical,"Topic 100: check, please, extend, adjust"
101,63,101_lever_leverwaardes_leverwaarden_leverarts,"['lever', 'leverwaardes', 'leverwaarden', 'leverarts', 'verhoogde', 'leverwaarde', 'cholesterol', 'levertesten', 'milt', 'afwijkend']","['Verder heeft de leverarts geadviseerd tijdens de zwangerschap de leverwaardes in de gaten te houden.', 'In hoeverre kan dit alles nog invloed op mijn lever en leverwaardes hebben?', 'Ik heb afgelopen zondag een scan van de lever gehad, omdat de leverwaardes hoog blijven.']",101,medical,"Topic 101: liver, liver values, liver tests, hepatologist"
102,63,102_verwijzing_verwijsbrief_doorverwijzing_verwijs,"['verwijzing', 'verwijsbrief', 'doorverwijzing', 'verwijs', 'bijsluiter', 'nodig', 'maatschappelijk', 'dossier', 'balie', 'polikliniek']","['Willen jullie dan een verwijzing maken?', 'Er was nog geen verwijzing binnen.', 'Zij hadden nog geen verwijzing.']",102,non-medical,"Topic 102: referral, referral letter, referral, refer"
103,62,103_longen_longarts_longfoto_longontsteking,"['longen', 'longarts', 'longfoto', 'longontsteking', 'hart', 'foto', 'tbc', 'vlekjes', 'scan', 'uitsluiten']","['Is het zinvol om een afspraak te maken voor het maken van een foto van de longen?', 'Gb  Cardioloog: mogelijk uw longen.', 'Mijn longen zien er volgens de longarts goed uit en ook de huisarts kan niet echt iets verkeerds horen.']",103,medical,"Topic 103: lungs, pulmonologist, chest X-ray, pneumonia"
104,59,104_echo_hartje_zien_kloppend,"['echo', 'hartje', 'zien', 'kloppend', 'bovenbuik', 'radiologie', 'galstenen', 'cardioloog', 'roesje', 'bekijken']","['Ja ik kan de 27e maar dan heb ik nog geen echo gehad dus weet ik nog niet veel..', '2 maart moet ik weer voor een echo.', 'Hallo [PERSOON],  Ik ben net voor de echo geweest.']",104,medical,"Topic 104: ultrasound, little heart, see, beating"
105,54,105_meedoen_mee_meewerken_hieraan,"['meedoen', 'mee', 'meewerken', 'hieraan', 'deel', 'afmelden', 'zinvol', 'melden', 'graag', 'ondernemen']","['ik wil graag meedoen.', 'Ik wil graag meedoen.', 'Ik wil graag hier aan meedoen.']",105,medical,"Topic 105: participate, join, cooperate, with this"
106,53,106_opvlamming_broeien_angst_voelt,"['opvlamming', 'broeien', 'angst', 'voelt', 'zien', 'nou', 'bijwerking', 'eventuele', 'jaren', 'verademing']","['Die zal ik dan vandaag even doen om te zien of het geen opvlamming is.', 'Als het een opvlamming is wat kan ik dan het beste doen.', 'Is dat dan een opvlamming?']",106,medical,"Topic 106: flare-up, brewing, fear, feels"
107,52,107_vezels_zakjes_betere_drinken,"['vezels', 'zakjes', 'betere', 'drinken', 'volcolon', 'stoelgang', 'recept', 'gebruik', 'extra', 'doorsturen']","['deze vezels gebruik ik al', 'Ik gebruik de vezels sinds 2014, dus die heb ik al iedere dag.', 'De vezels doen niets.']",107,medical,"Topic 107: fibers, sachets, better, drinking"
108,52,108_picoprep_moviprep_voorbereiding_opgehaald,"['picoprep', 'moviprep', 'voorbereiding', 'opgehaald', 'recept', 'apotheek', 'zakjes', 'tabletjes', 'beginnen', 'bisacodyl']","['Ik was bij de apotheek maar jullie hadden me geen picoprep voorgeschreven maar een andere.', 'Krijg ik weer picoprep?', 'Ik heb nog een vraag over de picoprep.']",108,medical,"Topic 108: Picoprep, Moviprep, preparation, collected"
109,51,109_risicogroep_risico_val_behoor,"['risicogroep', 'risico', 'val', 'behoor', 'groep', 'maatregelen', 'loop', 'bso', 'bepaalde', 'groot']","['Ik maak me een beetje zorgen omdat ik onder de risicogroep val door mijn medicatie.', 'Val ik ook onder de risicogroep die nu geprikt wordt?', 'Of val ik niet meer onder de risicogroep.']",109,medical,"Topic 109: risk group, risk, fall, belong"
110,51,110_stelara_sterlara_injectie_stellara,"['stelara', 'sterlara', 'injectie', 'stellara', 'stelera', 'ziekteactiviteit', 'infuus', 'volgende', 'verpleegkundige', 'aankomende']","['Een week geleden op 11 februari heb ik nog de stelara spuit gehad.', 'Hoe zit dit bij Stelara.', 'Ik heb 3 weken geleden voor de tweede keer stelara gekregen.']",110,medical,"Topic 110: Stelara, Sterlara, injection, Stellara"
111,48,111_budenofalk_budesonide_stoppen_bijsluiter,"['budenofalk', 'budesonide', 'stoppen', 'bijsluiter', 'day', 'netjes', 'continue', 'afbouwen', 'locatie', 'geslikt']","['Budenofalk gebruik ik 1x daags.', 'Hallo [PERSOON],  Wanneer mag ik stoppen met de Budenofalk?', 'Hij zou een recept voor de Budenofalk [LOCATIE] sturen naar mijn apotheek.']",111,medical,"Topic 111: Budenofalk, budesonide, stopping, leaflet"
112,48,112_infusiecentrum_infusie_infusen_zeiden,"['infusiecentrum', 'infusie', 'infusen', 'zeiden', 'gecombineerd', 'vervroegde', 'centrum', 'herstelzorg', 'afspraken', 'raadzaam']","['Hallo Gisteren ben ik bij het infusiecentrum geweest.', 'Dit heb ik bij het infusiecentrum laten doen.', 'De afspraak bij het infusiecentrum is om 13:00.']",112,medical,"Topic 112: infusion center, infusion, infusions, said"
113,47,113_salofalk_stix_granu_mesalazine,"['salofalk', 'stix', 'granu', 'mesalazine', 'granulaat', 'betreft', 'vervolgrecept', 'herhaalrecept', 'aanvragen', 'alk']","['Betreft salofalk granu-stix 3g.', 'Betreft salofalk granu-stix 3mg.', 'Ik heb Salofalk 1000m Granu-Stix.']",113,medical,"Topic 113: Salofalk, stix, granules, mesalazine"
114,47,114_questran_cholestagel_nieuw_recept,"['questran', 'cholestagel', 'nieuw', 'recept', 'zorginstelling', 'voorradig', 'gewone', 'goedemorgen', 'suikervrije', 'leverbaar']","['Goedemorgen ik had graag een nieuw recept van questran .', 'Goedemorgen, ik had graag een nieuw recept voor questran .', 'Goedemorgen, zou u mij weer een nieuw recept kunnen maken voor de Questran ?']",114,medical,"Topic 114: Questran, Cholestagel, new, prescription"
115,47,115_aambeien_aambei_inwendige_vagina,"['aambeien', 'aambei', 'inwendige', 'vagina', 'dacht', 'aambeienzalf', 'twijfel', 'parten', 'komt', 'knobbels']","['Heb ook al 2 maanden last van aambeien.', 'Wel een keer of twee wat bloed maar volgens mij is dat van aambeien.', 'ik heb last van aambeien.']",115,medical,"Topic 115: hemorrhoids, hemorrhoid, internal, vagina"
116,45,116_psycholoog_psychiatrie_maatschappelijk_leren,"['psycholoog', 'psychiatrie', 'maatschappelijk', 'leren', 'medisch', 'praten', 'behandeling', 'accepteren', 'doorverwijzen', 'behandelaar']","['Hoi [PERSOON],  Heb je enig idee wanneer ik terecht zou kunnen bij de psycholoog?', '[PERSOON] zei dat ze ook nog even contact zou opnemen met de psycholoog.', '[PERSOON],  Ik ben enige tijd onder behandeling bij een psycholoog voor een burnout.']",116,medical,"Topic 116: psychologist, psychiatry, social work, learning"
117,44,117_diaree_waterdunne_azitromycine_waterige,"['diaree', 'waterdunne', 'azitromycine', 'waterige', 'cholesterol', 'krampen', 'hele', 'neemt', 'vanmorgen', 'rijst']","['Maar ik heb vanaf dinsdag diaree gekregen en die gaat maar niet over.', 'Op 1/8, een dag na een restaurantbezoek had ik diaree.', 'Maar wel nog steeds diaree.']",117,medical,"Topic 117: diarrhea, watery, azithromycin, watery"
118,38,118_entocort_afbouwen_capsules_gestart,"['entocort', 'afbouwen', 'capsules', 'gestart', 'stoppen', 'darm', 'bijsluiter', 'lees', 'kindervakantiewerk', 'doorgelezen']","['De laatste medicatie is entocort  3mg.', 'Zou de Entocort daar toch iets moeten doen?', 'Zo niet, kan ik dan weer met de entocort omhoog?']",118,medical,"Topic 118: Entocort, tapering, capsules, started"
119,38,119_haaruitval_haren_kale_hoofdhuid,"['haaruitval', 'haren', 'kale', 'hoofdhuid', 'uitvallen', 'haarzakjes', 'kapper', 'hoofd', 'jeuk', 'dunner']","['Tevens heb ik de laatste paar maanden erg last van haaruitval en afbrekend haar.', 'Ik heb wel wat meer haaruitval dan normaal.', 'Met m’n haaruitval gaat het nog niet beter.']",119,medical,"Topic 119: hair loss, hair, bald, scalp"
